file,ground_truth,predicted,correct,raw_score,confidence,primary_variance,coherence,kurtosis
R_FFHQ_11000.png,real,AI,False,1.0,1.0,0.524601,0.023415,12.292903
R_FFHQ_11001.png,real,AI,False,1.0,1.0,0.573938,0.023295,11.600939
R_FFHQ_11002.png,real,AI,False,1.0,1.0,0.630413,0.034264,27.201173
R_FFHQ_11003.png,real,AI,False,1.0,1.0,0.588045,0.067804,17.827039
R_FFHQ_11004.png,real,AI,False,1.0,1.0,0.589292,0.01515,11.750015
R_FFHQ_11005.png,real,AI,False,1.0,1.0,0.625008,0.043309,39.56442
R_FFHQ_11006.png,real,AI,False,1.0,1.0,0.535871,0.028595,18.704412
R_FFHQ_11007.png,real,AI,False,1.0,1.0,0.55928,0.03678,10.870472
R_FFHQ_11008.png,real,AI,False,1.0,1.0,0.596358,0.04181,16.597413
R_FFHQ_11009.png,real,AI,False,1.0,1.0,0.56963,0.023804,15.932832
R_FFHQ_11010.png,real,AI,False,1.0,1.0,0.539789,0.042189,5.793809
R_FFHQ_11011.png,real,AI,False,1.0,1.0,0.639216,0.126795,26.856704
R_FFHQ_11012.png,real,AI,False,1.0,1.0,0.568934,0.052835,16.63678
R_FFHQ_11013.png,real,AI,False,1.0,1.0,0.526479,0.068973,16.964628
R_FFHQ_11014.png,real,AI,False,1.0,1.0,0.548145,0.040038,24.723494
R_FFHQ_11015.png,real,AI,False,1.0,1.0,0.608521,0.057443,27.44137
R_FFHQ_11016.png,real,AI,False,1.0,1.0,0.650326,0.028559,9.662418
R_FFHQ_11017.png,real,AI,False,1.0,1.0,0.646489,0.096504,16.001315
R_FFHQ_11018.png,real,AI,False,1.0,1.0,0.549905,0.036171,7.586896
R_FFHQ_11019.png,real,AI,False,1.0,1.0,0.539455,0.017509,16.927389
R_FFHQ_11020.png,real,AI,False,1.0,1.0,0.735642,0.045131,10.283711
R_FFHQ_11021.png,real,AI,False,1.0,1.0,0.519586,0.041135,24.166349
R_FFHQ_11022.png,real,AI,False,1.0,1.0,0.545968,0.069858,57.283204
R_FFHQ_11023.png,real,AI,False,1.0,1.0,0.524279,0.061657,10.984027
R_FFHQ_11024.png,real,AI,False,1.0,1.0,0.542504,0.012313,11.09664
R_FFHQ_11025.png,real,AI,False,1.0,1.0,0.558795,0.067904,30.848297
R_FFHQ_11026.png,real,AI,False,1.0,1.0,0.6004,0.074966,18.621384
R_FFHQ_11027.png,real,AI,False,1.0,1.0,0.5469,0.024238,25.217658
R_FFHQ_11028.png,real,AI,False,1.0,1.0,0.54238,0.013936,31.390882
R_FFHQ_11029.png,real,AI,False,1.0,1.0,0.587627,0.024448,15.160711
R_FFHQ_11030.png,real,AI,False,1.0,1.0,0.621305,0.046337,17.691796
R_FFHQ_11031.png,real,AI,False,1.0,1.0,0.615716,0.02725,28.327888
R_FFHQ_11032.png,real,AI,False,1.0,1.0,0.62017,0.02108,10.921235
R_FFHQ_11033.png,real,AI,False,1.0,1.0,0.68685,0.045377,21.041672
R_FFHQ_11034.png,real,AI,False,1.0,1.0,0.514839,0.015929,29.828731
R_FFHQ_11035.png,real,AI,False,1.0,1.0,0.53477,0.035722,55.478805
R_FFHQ_11036.png,real,AI,False,1.0,1.0,0.540172,0.036969,10.112958
R_FFHQ_11037.png,real,AI,False,1.0,1.0,0.692293,0.050015,16.236141
R_FFHQ_11038.png,real,AI,False,1.0,1.0,0.524571,0.038482,25.723752
R_FFHQ_11039.png,real,AI,False,1.0,1.0,0.628988,0.046717,39.751761
R_FFHQ_11040.png,real,AI,False,1.0,1.0,0.608553,0.016374,13.457659
R_FFHQ_11041.png,real,AI,False,1.0,1.0,0.560114,0.02278,23.007783
R_FFHQ_11042.png,real,AI,False,1.0,1.0,0.654043,0.04497,31.776817
R_FFHQ_11043.png,real,AI,False,1.0,1.0,0.644756,0.034305,9.031902
R_FFHQ_11044.png,real,AI,False,1.0,1.0,0.600575,0.055447,54.299575
R_FFHQ_11045.png,real,AI,False,1.0,1.0,0.576324,0.026087,20.22301
R_FFHQ_11046.png,real,AI,False,1.0,1.0,0.614172,0.044013,28.91486
R_FFHQ_11047.png,real,AI,False,1.0,1.0,0.571067,0.022552,20.74985
R_FFHQ_11048.png,real,AI,False,1.0,1.0,0.544217,0.055955,19.23908
R_FFHQ_11049.png,real,AI,False,1.0,1.0,0.533528,0.021995,11.509492
R_FFHQ_11050.png,real,AI,False,1.0,1.0,0.560268,0.024061,13.252005
R_FFHQ_11051.png,real,AI,False,1.0,1.0,0.537223,0.03317,10.98511
R_FFHQ_11052.png,real,AI,False,1.0,1.0,0.514364,0.017678,22.611014
R_FFHQ_11053.png,real,AI,False,1.0,1.0,0.57966,0.020465,20.041429
R_FFHQ_11054.png,real,AI,False,1.0,1.0,0.607474,0.010348,19.054052
R_FFHQ_11055.png,real,AI,False,1.0,1.0,0.513679,0.060421,10.743444
R_FFHQ_11056.png,real,AI,False,1.0,1.0,0.537214,0.014423,14.234066
R_FFHQ_11057.png,real,AI,False,1.0,1.0,0.635731,0.016842,25.820024
R_FFHQ_11058.png,real,AI,False,1.0,1.0,0.53303,0.01546,14.961503
R_FFHQ_11059.png,real,AI,False,1.0,1.0,0.596458,0.04511,20.224017
