file,ground_truth,predicted,correct,raw_score,confidence,primary_variance,coherence
F_PGN2_11000.png,real,AI,False,1.0,1.0,0.550874,0.055525
F_PGN2_11001.png,real,AI,False,1.0,1.0,0.56365,0.003242
F_PGN2_11002.png,real,AI,False,1.0,1.0,0.563728,0.056184
F_PGN2_11003.png,real,AI,False,1.0,1.0,0.581038,0.014411
F_PGN2_11004.png,real,AI,False,1.0,1.0,0.546063,0.018377
F_PGN2_11005.png,real,AI,False,1.0,1.0,0.542725,0.027042
F_PGN2_11006.png,real,AI,False,1.0,1.0,0.541387,0.050245
F_PGN2_11007.png,real,AI,False,1.0,1.0,0.543879,0.042082
F_PGN2_11008.png,real,AI,False,1.0,1.0,0.577352,0.032378
F_PGN2_11009.png,real,AI,False,1.0,1.0,0.577887,0.063465
F_PGN2_11010.png,real,AI,False,1.0,1.0,0.602213,0.011245
F_PGN2_11011.png,real,AI,False,1.0,1.0,0.628721,0.079927
F_PGN2_11012.png,real,AI,False,1.0,1.0,0.567779,0.013625
F_PGN2_11013.png,real,AI,False,1.0,1.0,0.547253,0.009229
F_PGN2_11014.png,real,AI,False,1.0,1.0,0.569023,0.039492
F_PGN2_11015.png,real,AI,False,1.0,1.0,0.59367,0.012547
F_PGN2_11016.png,real,AI,False,1.0,1.0,0.589192,0.029649
F_PGN2_11017.png,real,AI,False,1.0,1.0,0.55114,0.061414
F_PGN2_11018.png,real,AI,False,1.0,1.0,0.576111,0.076544
F_PGN2_11019.png,real,AI,False,1.0,1.0,0.530522,0.041273
F_PGN2_11020.png,real,AI,False,1.0,1.0,0.568436,0.068162
F_PGN2_11021.png,real,AI,False,1.0,1.0,0.609758,0.002398
F_PGN2_11022.png,real,AI,False,1.0,1.0,0.568669,0.066591
F_PGN2_11023.png,real,AI,False,1.0,1.0,0.550232,0.003654
F_PGN2_11024.png,real,AI,False,1.0,1.0,0.611839,0.032379
F_PGN2_11025.png,real,AI,False,1.0,1.0,0.532923,0.067169
F_PGN2_11026.png,real,AI,False,1.0,1.0,0.537595,0.017208
F_PGN2_11027.png,real,AI,False,1.0,1.0,0.591613,0.062145
F_PGN2_11028.png,real,AI,False,1.0,1.0,0.548561,0.096539
F_PGN2_11029.png,real,AI,False,1.0,1.0,0.62834,0.009832
F_PGN2_11030.png,real,AI,False,1.0,1.0,0.535325,0.067899
F_PGN2_11031.png,real,AI,False,1.0,1.0,0.590861,0.005643
F_PGN2_11032.png,real,AI,False,1.0,1.0,0.592053,0.049418
F_PGN2_11033.png,real,AI,False,1.0,1.0,0.552757,0.06243
F_PGN2_11034.png,real,AI,False,1.0,1.0,0.575157,0.026239
