file,ground_truth,predicted,correct,raw_score,confidence,primary_variance,coherence
R_FFHQ_11000.png,real,AI,False,1.0,1.0,0.524601,0.023415
R_FFHQ_11001.png,real,AI,False,1.0,1.0,0.573938,0.023295
R_FFHQ_11002.png,real,AI,False,1.0,1.0,0.630413,0.034264
R_FFHQ_11003.png,real,AI,False,1.0,1.0,0.588045,0.067804
R_FFHQ_11004.png,real,AI,False,1.0,1.0,0.589292,0.01515
R_FFHQ_11005.png,real,AI,False,1.0,1.0,0.625008,0.043309
R_FFHQ_11006.png,real,AI,False,1.0,1.0,0.535871,0.028595
R_FFHQ_11007.png,real,AI,False,1.0,1.0,0.55928,0.03678
R_FFHQ_11008.png,real,AI,False,1.0,1.0,0.596358,0.04181
R_FFHQ_11009.png,real,AI,False,1.0,1.0,0.56963,0.023804
R_FFHQ_11010.png,real,AI,False,1.0,1.0,0.539789,0.042189
R_FFHQ_11011.png,real,AI,False,1.0,1.0,0.639216,0.126795
R_FFHQ_11012.png,real,AI,False,1.0,1.0,0.568934,0.052835
R_FFHQ_11013.png,real,AI,False,1.0,1.0,0.526479,0.068973
R_FFHQ_11014.png,real,AI,False,1.0,1.0,0.548145,0.040038
R_FFHQ_11015.png,real,AI,False,1.0,1.0,0.608521,0.057443
R_FFHQ_11016.png,real,AI,False,1.0,1.0,0.650326,0.028559
R_FFHQ_11017.png,real,AI,False,1.0,1.0,0.646489,0.096504
R_FFHQ_11018.png,real,AI,False,1.0,1.0,0.549905,0.036171
R_FFHQ_11019.png,real,AI,False,1.0,1.0,0.539455,0.017509
R_FFHQ_11020.png,real,AI,False,1.0,1.0,0.735642,0.045131
R_FFHQ_11021.png,real,AI,False,1.0,1.0,0.519586,0.041135
R_FFHQ_11022.png,real,AI,False,1.0,1.0,0.545968,0.069858
R_FFHQ_11023.png,real,AI,False,1.0,1.0,0.524279,0.061657
R_FFHQ_11024.png,real,AI,False,1.0,1.0,0.542504,0.012313
R_FFHQ_11025.png,real,AI,False,1.0,1.0,0.558795,0.067904
R_FFHQ_11026.png,real,AI,False,1.0,1.0,0.6004,0.074966
R_FFHQ_11027.png,real,AI,False,1.0,1.0,0.5469,0.024238
R_FFHQ_11028.png,real,AI,False,1.0,1.0,0.54238,0.013936
R_FFHQ_11029.png,real,AI,False,1.0,1.0,0.587627,0.024448
R_FFHQ_11030.png,real,AI,False,1.0,1.0,0.621305,0.046337
R_FFHQ_11031.png,real,AI,False,1.0,1.0,0.615716,0.02725
R_FFHQ_11032.png,real,AI,False,1.0,1.0,0.62017,0.02108
R_FFHQ_11033.png,real,AI,False,1.0,1.0,0.68685,0.045377
R_FFHQ_11034.png,real,AI,False,1.0,1.0,0.514839,0.015929
R_FFHQ_11035.png,real,AI,False,1.0,1.0,0.53477,0.035722
R_FFHQ_11036.png,real,AI,False,1.0,1.0,0.540172,0.036969
R_FFHQ_11037.png,real,AI,False,1.0,1.0,0.692293,0.050015
R_FFHQ_11038.png,real,AI,False,1.0,1.0,0.524571,0.038482
R_FFHQ_11039.png,real,AI,False,1.0,1.0,0.628988,0.046717
R_FFHQ_11040.png,real,AI,False,1.0,1.0,0.608553,0.016374
