file,ground_truth,predicted,correct,raw_score,confidence,primary_variance,coherence
F_FAP1_00333-1.png,real,AI,False,1.0,1.0,0.542816,0.013561
F_FAP1_00333-2.png,real,AI,False,1.0,1.0,0.53351,0.01533
F_FAP1_00333-3.png,real,AI,False,1.0,1.0,0.518681,0.017662
F_FAP1_00334-1.png,real,AI,False,1.0,1.0,0.595158,0.022407
F_FAP1_00334-2.png,real,AI,False,1.0,1.0,0.511258,0.016773
F_FAP1_00334-3.png,real,AI,False,1.0,1.0,0.546195,0.01231
F_FAP1_00335-1.png,real,AI,False,1.0,1.0,0.524501,0.053173
F_FAP1_00335-2.png,real,AI,False,1.0,1.0,0.524044,0.05037
F_FAP1_00335-3.png,real,AI,False,1.0,1.0,0.516647,0.054702
F_FAP1_00336-1.png,real,AI,False,1.0,1.0,0.544296,0.03155
F_FAP1_00336-2.png,real,AI,False,1.0,1.0,0.547999,0.032985
F_FAP1_00336-3.png,real,AI,False,1.0,1.0,0.554364,0.035129
F_FAP1_00337-1.png,real,AI,False,1.0,1.0,0.63584,0.043383
F_FAP1_00337-2.png,real,AI,False,1.0,1.0,0.712908,0.037749
F_FAP1_00337-3.png,real,AI,False,1.0,1.0,0.570295,0.026362
F_FAP1_00338-1.png,real,AI,False,1.0,1.0,0.606127,0.052611
F_FAP1_00338-2.png,real,AI,False,1.0,1.0,0.613338,0.044598
F_FAP1_00338-3.png,real,AI,False,1.0,1.0,0.518734,0.043339
F_FAP1_00339-1.png,real,AI,False,1.0,1.0,0.623035,0.011348
F_FAP1_00339-2.png,real,AI,False,1.0,1.0,0.624235,0.013579
F_FAP1_00339-3.png,real,AI,False,1.0,1.0,0.642368,0.010887
F_FAP1_00340-1.png,real,AI,False,1.0,1.0,0.553639,0.045248
F_FAP1_00340-2.png,real,AI,False,1.0,1.0,0.588515,0.041973
F_FAP1_00340-3.png,real,AI,False,1.0,1.0,0.596504,0.044188
F_FAP1_00341-1.png,real,AI,False,1.0,1.0,0.665663,0.024427
F_FAP1_00341-2.png,real,AI,False,1.0,1.0,0.684316,0.027115
F_FAP1_00341-3.png,real,AI,False,1.0,1.0,0.592715,0.022582
F_FAP1_00342-1.png,real,AI,False,1.0,1.0,0.581938,0.026073
F_FAP1_00342-2.png,real,AI,False,1.0,1.0,0.585243,0.028385
F_FAP1_00342-3.png,real,AI,False,1.0,1.0,0.564524,0.026809
F_FAP1_00343-1.png,real,AI,False,1.0,1.0,0.640551,0.013521
F_FAP1_00343-2.png,real,AI,False,1.0,1.0,0.667177,0.010293
F_FAP1_00343-3.png,real,AI,False,1.0,1.0,0.594799,0.02087
F_FAP1_00344-1.png,real,AI,False,1.0,1.0,0.552344,0.019072
F_FAP1_00344-2.png,real,AI,False,1.0,1.0,0.541236,0.011904
F_FAP1_00344-3.png,real,AI,False,1.0,1.0,0.503549,0.019724
F_FAP1_00345-1.png,real,AI,False,1.0,1.0,0.544349,0.047268
F_FAP1_00345-2.png,real,AI,False,1.0,1.0,0.51028,0.047982
F_FAP1_00345-3.png,real,AI,False,1.0,1.0,0.561364,0.047817
